brand,items_found
Fortune Foods,2

Jaylakshmi Food Processing,2

Kamlesh Food,2

Mountain Valley Springs,2

Premier Tissue India,2

Sikkim Distilleries,2

Sony,2

Wecesne Wafers,2

bhavani farsan,2

Laljee Godhoo & Co,2

Probhu Astha Enterprise; Kanpur,2

Siso Importers,2

Flipkart Pvt. Ltd.,2

IFB Agro,2

Linc pen,2

R M Foods Beverages,2

Sailakshmi Enterprises,2

Soap,2

Chitale Foods,2

Extra Punch,2

Ruchi Soya Industries Ltd.,2

Sanofi India Ltd.,2

Shree Krishna Sweets,2

a.p. mani and sons,2

ECOF Industries Pvt Ltd,2

Girigan,2

Om Shakthi Mills,2

Pure and Care Healthcare,2

Ram Bakery,2

Satyender Food Products Pvt Ltd.,2

Bagfull Mart,2

Garden Bed Industries,2

Kannandevan Hills Private Ltd.,2

Kimberly-Clark,2

Logitach Asia Pacific LTD,2

Rashi Adro,2

R R Oomerbhoy Pvt Ltd,2

Soya Flour Red Chilly,2

Weikfield Products Co. India Pvt Ltd,2

Ajit Singh Product,2

Deemark Healthcare; Delhi,2

Hpmc,2

Italian Edibles Pvt.Ltd,2

Kayani Bakery,2

Mehta Toys,2

Netway Home Products,2

Paramount Polish,2

Pillsbury,2

Rajkamal,2

Sri Radhe Krishna Commercial Corporation,2

Tesco,2

Almar,2

Dogra,2

Khangchendzonga Milk Cooperative,2

Krishna Chandra Datta Pvt Ltd,2

Shri Varha Sahakari,2

Unified Spirit Limited,2

Argan Demarrueeos,2

Geeta Butter Chaldi,2

Goodricke,2

Hindware,2

Invita Foods,2

PHE Department- WB,2

Rajan Salt,2

Sunny Home Care,2

Wingreen Farms,2

alkam labs,2

Delicia Food,2

Gaggar Pvt. Ltd.,2

Jai Balaji Plastic,2

Montex Ind.,2

Nidhi Industries,2

Parry's,2

Sm& Sons,2

Ultratech Cement,2

D K P,2

MC Neil Health Care,2

Mryana Hygiene Product; Howrah,2

Verka,2

Nest,2

Melborn Water,2

Pinch Bottling,2

Rajkamal namkeens,2

SK Food,2

Champion Gold,2

Fogg Perfumes and OEM Manufacturers,2

India Sweet co. Pvt. Ltd.,2

Moti Enterprises,2

Sona Biscuits Ltd,2

Vavas International Pvt Ltd,2

Gopal snacks,2

Hira Sweets,2

ION heath care PVT.LTD,2

L&T,2

Ravian Life Sciences,2

ANIK INDUSTRIES,2

Bio Veda Action Research Co.,2

Delightful,2

Fissai,2

Liberty Oil,2

Sahakar Bhandar,2

Star Industries,2

Apple Inc,2

Kaps Huaine Solition,2

Tabeem,2

Welgenic Pharma,2

Divine Cakery,2

Hygeia Pharma Mfg. Pvt. Ltd.,2

Made of Natural Ruba,2

Rajnand,2

S. R. Beverages; Kolkata,2

Sarvodaya Foods,2

Chanakya Dairy Products,2

GM Foods,2

Maxwell Industries,2

Motidar,2

Shunfine Production,2

Sonai,2

BanBino,2

Fulford,2

Geltec,2

Hiran Agroceuticals Pvt Ltd,2

Mum Mum,2

Keya Foods Ltd,2

KPl Oil Mills,2

Shri Ram Agro,2

Ratna Sagar Pvt Ltd,2

Tai Ambe,2

Anand sweets,2

CNG Ltd,2

Ebay,2

Om Industries,2

PT Mandom,2

Rajyog,2

V Care Pharma,2

VIP Clothing,2

Baba Ramdev,2

Khoday,2

Lite Pack Food Industries,2

Milton Engineering Works,2

Shyambajar,2

Tit Bit foods,2

Manpasan Beverages Pvt. Ltd.,2

Neena Products,2

Aakash Global Food Pvt. Ltd.,2

Allen Homeo And Herbal Products,2

Ankit India,2

Helios Pharma,2

Morden Food,2

Organic India,2

Sai Foods,2

Valvoline inc.,2

Jenburket,2

Mangal Masala,2

Natural Product,2

NR tradings,2

Pan Polychem & Herbo Product; Kolkata,2

Prima Food pvt ltd,2

Sanjoh Implex,2

Silver Coin,2

Takir Waziri Co Ltd,2

a varahi group company,2

Basantar,2

Big Catch PTE. Ltd,2

Castrol,2

Divya Pharma,2

Giani Ice Cream,2

Hylen,2

Marks & Spencer,2

PT Signature Top,1

Rakesh Khaini,1

Resinova Cheme Ltd,1

SA Foods,1

Sattvic Innovations,1

Sheil Ind.,1

Skyline,1

Sure Industries,1

The Burping Panda,1

UB Rao,1

V John,1

Apar Industrial Ltd; Vadodra,1

Ashoka Trading Company,1

Brijjel Foods,1

EMI,The Gramaphone Company,1

Foodland Serial Pvt Ltd,1

Hie power,1

Khowaja Stores,1

Livafin Herbal Care,1

Mahendra Perfumery Works,1

MBK,1

Mount Distilleries,1

Narendra Plastic,1

Noor International school,1

Perfect Companion,1

Premier Suits,1

Rabindra Sarani; Kolkata,1

Rasai Magic Foods,1

Romsons juniors,1

Sanruddhi Pharma,1

Senille Product,1

Shree Bhagwati Flour,1

Toner,1

Veet India,1

Wah Tea Estate,1

Ajanta,1

amrut lal sanji,1

Banja Millers Ltd.,1

Camy Wafers,1

Chuhan Grah Udyog,1

Darshan Industries,1

Dwarkesh Pharmaceuticals,1

Farm Press,1

Gems Food,1

Hariom Sweets,1

Hock Leong Teek Khee,1

JL Jyothi Labs LTD,1

Lalaji Malji,1

Mnas covidien,1

Mehsana,1

Neikfield Food packaging,1

Pro Laboratories LTD,1

Real Enterprises,1

Russian Brand,1

Supar Clean Up Industries,1

Technopolis Knowledge,1

Trucare hygiene industries,1

Worlds Rice Largest,1

Aapki Rasoi,1

Anmol India ltd,1

Beam Suntory,1

Black Rose Industries Pvt Ltd.,1

Concious Food Pvt. Ltd,1

Glenmorangie,1

Jalani Enterprises Pvt.Ltd.,1

Kalanwani Pvt Ltd.,1

KG Functional Beverages,1

Lifestyle I,1

Nilon's Enterprise,1

Potato Chips,1

Sai Santosh,1

Shiv Babu Food,1

